Дата,Kлики,Показы,Ср. цена за клик,Расходы
"вс, 22 июн. 2025 г.",25,305,"12,76 грн.","319,01 грн."
"пн, 23 июн. 2025 г.",21,442,"14,06 грн.","295,20 грн."
"вт, 24 июн. 2025 г.",11,247,"15,13 грн.","166,48 грн."
"ср, 25 июн. 2025 г.",8,54,"16,19 грн.","129,51 грн."
"чт, 26 июн. 2025 г.",7,39,"21,24 грн.","148,65 грн."
"пт, 27 июн. 2025 г.",10,63,"13,78 грн.","137,83 грн."
"сб, 28 июн. 2025 г.",14,165,"9,24 грн.","129,42 грн."
"вс, 29 июн. 2025 г.",11,171,"7,37 грн.","81,09 грн."
"пн, 30 июн. 2025 г.",9,174,"6,43 грн.","57,89 грн."
"вт, 1 июл. 2025 г.",18,273,"9,64 грн.","173,52 грн."
"ср, 2 июл. 2025 г.",19,392,"6,71 грн.","127,43 грн."
"чт, 3 июл. 2025 г.",24,270,"5,49 грн.","131,85 грн."
"пт, 4 июл. 2025 г.",21,377,"6,02 грн.","126,37 грн."
"сб, 5 июл. 2025 г.",16,340,"7,19 грн.","115,08 грн."
"вс, 6 июл. 2025 г.",16,382,"8,46 грн.","135,40 грн."
"пн, 7 июл. 2025 г.",21,272,"6,34 грн.","133,13 грн."
"вт, 8 июл. 2025 г.",17,210,"6,81 грн.","115,73 грн."
"ср, 9 июл. 2025 г.",26,460,"5,01 грн.","130,29 грн."
"чт, 10 июл. 2025 г.",18,257,"7,40 грн.","133,15 грн."
"пт, 11 июл. 2025 г.",37,524,"5,68 грн.","210,30 грн."
"сб, 12 июл. 2025 г.",22,514,"9,35 грн.","205,64 грн."
"вс, 13 июл. 2025 г.",29,550,"6,61 грн.","191,58 грн."
"пн, 14 июл. 2025 г.",30,816,"6,84 грн.","205,19 грн."
"вт, 15 июл. 2025 г.",23,665,"6,83 грн.","157,17 грн."
"ср, 16 июл. 2025 г.",26,497,"4,99 грн.","129,65 грн."
"чт, 17 июл. 2025 г.",18,500,"6,57 грн.","118,30 грн."
"пт, 18 июл. 2025 г.",23,702,"5,31 грн.","122,23 грн."
"сб, 19 июл. 2025 г.",26,475,"5,08 грн.","132,09 грн."
"вс, 20 июл. 2025 г.",20,670,"4,27 грн.","85,41 грн."
"пн, 21 июл. 2025 г.",24,546,"6,41 грн.","153,74 грн."
"вт, 22 июл. 2025 г.",25,606,"5,10 грн.","127,42 грн."
"ср, 23 июл. 2025 г.",31,722,"4,10 грн.","127,05 грн."
"чт, 24 июл. 2025 г.",25,403,"3,84 грн.","95,93 грн."
"пт, 25 июл. 2025 г.",16,377,"3,52 грн.","56,30 грн."
"сб, 26 июл. 2025 г.",30,619,"4,54 грн.","136,23 грн."
"вс, 27 июл. 2025 г.",49,953,"5,07 грн.","248,67 грн."
"пн, 28 июл. 2025 г.",28,504,"4,83 грн.","135,35 грн."
