Название группы объявлений,Название кампании,Расходы,Расходы (Контрольные),Kлики,Kлики (Контрольные),Взаимод.,Взаимод. (Контрольные)
PETG-UA-General,PETG-UA,"954,12 грн.","7,33 грн.",119,1,119,1
PETG-RU-General,PETG-RU,"778,79 грн.","0,00 грн.",131,0,131,0
ASA-RU-General,ASA-RU,"745,19 грн.","0,00 грн.",104,0,104,0
ABS-RU-General,ABS-RU,"572,57 грн.","0,00 грн.",89,0,89,0
ASA-UA-General,ASA-UA,"526,66 грн.","0,00 грн.",75,0,75,0
ABS-UA-General,ABS-UA,"512,56 грн.","0,00 грн.",77,0,77,0
ABS-UA-DSA,ABS-UA,"342,22 грн.","0,00 грн.",50,0,50,0
ASA-UA-DSA,ASA-UA,"291,78 грн.","0,00 грн.",35,0,35,0
ABS-RU-DSA,ABS-RU,"284,69 грн.","0,00 грн.",37,0,37,0
ASA-RU-DSA,ASA-RU,"162,73 грн.","0,00 грн.",31,0,31,0
PETG-RU-DSA,PETG-RU,"132,97 грн.","0,00 грн.",24,0,24,0
PETG-UA-DSA,PETG-UA,"120,99 грн.","0,00 грн.",22,0,22,0
